Id,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7
cc3871a06b7596b356f63d1d2b650a6e,0,1,0,1,1,1,0
2e2a5e60e68585e8981f8303676aee58,1,0,1,0,0,0,0
0ac277c69c869a10df52df17c6260d14,1,0,0,0,0,0,0
bafa0eb47b7507dbb9c76485cf043df2,1,1,0,1,1,0,0
03f1a05d6607abfd01753f606568adf0,1,1,1,0,1,0,1
3b48b2d80032e6d8859618bd6cb9d671,0,0,1,1,1,1,1
5ff2a16131cb093fd2ea7e59a741e8cd,0,1,1,0,0,1,0
3a725925a43f65a075e8a452775a9a1f,1,1,1,0,0,0,1
9dd588f7599eb7da4b881c08429e8107,1,0,1,1,0,1,1
fc7ae26a47c8fc9d1f3dc917dcc6d45d,0,1,0,0,1,1,0
dcc1a354ea47b8f5da998c47f3fa50e1,1,0,1,1,1,1,0
e8efb6d34c1d577bdb4ef8b7632445a9,0,0,0,0,0,0,1
d78ee07899b58e3ed27b5f5a34632237,0,1,0,0,1,0,1
77a65c2fb693a87223455d3d19f279f7,0,1,0,0,0,1,1
8013b912b292e88334cbc2567779c0cb,0,1,0,1,0,0,1
2a28a1bd21e5c62e7bc1dffffec1ff01,1,1,0,1,0,0,0
bc0dc2dc42e9f594e007dbc7b4aa467e,0,0,1,1,0,0,0
dbfb8c9f7c986acd786e14e6617727df,1,1,1,1,0,1,1
12ce5462a6712394784bf127df7555b3,1,0,0,0,0,1,1
1653a929bf5167e27d2e95bd552d2f99,1,0,0,1,0,1,1
308e3f92740128fa622004dace4fa284,0,1,1,1,1,0,1
100e36f217dab36c0a3faed20cdfb56f,0,0,0,0,1,1,1
f87f5d9dcbc3af1e7688dadfb4280616,1,0,1,0,0,1,1
3fc6ef20c0a7a006ee81ed988b807646,1,1,1,0,1,0,0
4858a5ed11f38018c5844c988ea0e4d9,0,0,0,1,1,0,1
5c2d6553c04282a9da0cadc84444277d,1,0,1,0,0,1,1
95c5da3d8df50656a5433b23574480f0,1,1,0,1,1,1,0
7a156a52c5b3ca7a1ad7b24e20608fc5,1,0,1,1,1,0,1
88f4f9067f86b4f3b01e5828ff918722,0,1,0,0,0,0,1
e573883470823061ae9e54f6dd700479,0,0,1,1,0,0,1
5640b4f1b0a8542b2e7da4ece7169184,0,1,1,0,0,1,1
25e1748de859c7fbaea2f3ac249ccf94,1,0,0,0,0,1,0
6da620fb4bf53354810dda6d09eeb9e0,1,0,0,1,1,0,0
020983f09ecb789cfb6dcf88f417aea5,1,0,1,1,1,0,1
8a161f1fd33a012af0e32e5e305f916e,0,1,0,1,0,0,0
9399bc68ab8363c8632974a57717daef,0,0,1,1,0,1,0
3d008b94b7364f4b047eb63f118781ac,0,0,1,0,0,1,1
9a736114f9ef5b3da5af489c8f694030,0,0,0,0,1,1,0
5a536ebf90b18647760b61f9815625db,1,1,1,1,1,0,1
94c27da09bc575acc8fce9e5c056109e,0,1,1,0,0,1,1
bde5a4b37fc32e0bd39fdb92aeb5c292,1,1,1,0,1,1,1
fb8a42b2682f8cb07540d7fb94cc834f,0,1,0,0,1,1,1
875468b34f77a57d285497d782ae1bc0,0,0,0,1,0,1,0
a390b2025f6acbcecc2f4a5eb58f7aba,1,0,1,0,1,0,1
4be366cb5ba01e21305563eea4e125d9,1,1,1,1,1,0,0
4b0cdeb3b0123c8b40c674224f050246,0,1,0,0,1,1,1
dae6ed7024e146708e95752131020d17,1,0,0,0,1,1,1
06c467c7f788ad75591f6b0c2a64664f,1,1,1,1,0,0,0
f030590f39b18bea5d7727da77de4e51,0,0,1,0,0,0,0
0bd55d9794cc1bcb8e60e4bba4c266eb,1,0,0,1,1,1,1
4de3c3db364b4475dc0f065bf1fdc525,1,0,0,0,0,0,0
d7d1e5de0baefdcbc87197569399c059,0,0,0,0,0,1,1
6a3dcea9affc5e787fc359e782e2746a,0,1,0,1,0,0,0
7b9adcbc25616059a145c19061be04ec,1,1,0,0,0,0,1
62ef153c3f5e810dbdc5971acaf28244,0,1,1,0,1,1,0
a3f3881bc9ef2642b507cf4c7ac3e267,0,1,1,1,0,0,1
9028e8ef0288bf5f8f65fa458d9b2567,0,0,1,0,0,0,1
8c3743416600c1d688764c1d2819b7b3,1,0,0,0,1,1,0
af4eecf73ca302a688443c20bad32db6,1,1,0,0,0,1,1
4f3ba89ba899bb0876ecdea06d380359,0,1,1,0,1,0,1
f854b0cdb558c572b0cd66e2ddb4033e,0,1,1,1,0,1,0
c30212944a7e27c712c4ea24b9de5a71,1,1,1,1,0,1,1
64469daf8eef9b2070e441afca137c46,0,1,0,1,0,0,1
36d5b285fa36765b18258cc68fea4d0c,1,0,0,1,1,1,1
53636043f5affdf14eb74ad3975dac8b,1,0,0,0,1,1,0
7ab3a67d9c629b711e5f871586eda173,1,0,1,1,1,1,1
ac7d2427b32e91709c533c5a3378e28e,1,0,0,0,0,1,1
503a83886cf0ee1c5474b45ee68d8e29,1,0,0,0,1,0,0
32fa2714f83eb9b4afb684425e7d34da,1,1,1,1,1,0,1
9a490f7b457e8c5c6ff322dd204202bd,1,0,1,0,1,0,0
ce8ac437cd6eb9b01985f17cb0f5ae64,0,1,1,0,1,1,0
055c94706d467fa97ab01ab731253e3b,0,1,0,0,0,1,0
2fcb338de3a9143d6b58b18cb5ca7179,1,0,1,1,1,1,0
099b012cb0d59550fcdca5ccc356fb42,0,0,0,1,1,0,1
0aebc59a93a9f9c57e14ac1bc4a460fe,0,1,1,1,1,0,0
88c0a1072892b606ca2c88445b1aa3ec,1,0,1,1,0,0,0
8dfe1416d5fddf8874a998f2c3c7ca61,1,1,1,1,0,1,1
1cc993e93792fc2e9c594d139e216bee,1,0,0,0,1,0,0
ca70b858b63f072ff4889eaead00a70e,0,1,1,0,0,0,0
f4d0b94dab3d310b0535f795d303c656,0,0,0,1,0,0,1
ef6bb9b134c664c7afe9eb4d2ebd7585,0,1,1,1,1,1,0
aa55527e988bfd46073e2d99a51c0e77,1,0,0,0,0,1,0
515aba61384cb9ae9d196aadd56c6a96,1,0,1,1,0,1,0
2ff368c343404d98ba5b25dc7cf2e7e8,0,0,0,1,1,0,0
3ad37d4f57d5efd163548a90f043b76b,0,0,0,0,1,1,1
726e12a7475ae41d9ec1df5f135de1d9,1,1,1,0,1,1,1
4bd24bd24b622b1b23a0b41d1ea4eb9a,0,1,0,0,1,0,0
18887f71ce5d11e8668a9b850fb6bf1d,0,1,0,1,0,1,1
125e40d1b2b65606e762a8fe6a49fb70,1,1,1,0,0,1,1
bed0c41a2de34806aa40e580a4b32278,0,1,1,1,0,1,1
27dd091aaa52700458b193a5580efd7e,1,1,1,0,1,0,0
2baa2b19d34bc93f1b17d684e7b3ad2b,1,1,0,1,1,0,0
35a9ce89cc2ed50b803df3b9f6af2029,1,0,1,0,0,1,0
90b42695f449895e7adf3eb82a9ffe4e,1,1,1,0,0,1,0
0b18ee182d12ec922ff8b8410e338f87,0,1,0,0,1,0,1
ba9d479b1b89e4fe66892858039c59b5,0,0,0,1,0,0,1
c8fbdf40bc5659f55ab7b73e8c059224,0,1,0,0,1,0,1
3e73a410e39299c29bd489785aca8349,1,0,0,1,1,1,0
763b85a0159a5e2bb2f59dce6866f610,1,0,1,0,1,0,0
5831570bf828f3f6e0a1bf96e1c57c45,1,0,1,0,1,0,0
08be07d14518ec4e726829347b1a595e,0,1,0,0,0,0,0
3afd5154b046e63f4da83e32b25b8078,1,1,0,0,0,1,1
2276f23c912760990662fc8177ab5da9,1,1,1,0,1,1,1
44aebc95f448e465fa01a9ee7d5bf3fc,1,0,0,1,1,1,1
023340de04d196644f8187b0bac295fc,1,0,0,0,0,1,1
7ca2bf06d1586e0aec8e070cf6597835,0,0,1,1,1,0,0
d484b5cb79a3f0285c2acfbbf07797a6,1,1,1,0,1,1,0
8aff6610a56a6818b3c50e14a171c1ac,0,0,0,0,0,1,0
ec380316adfa1cedcd391cb79fe55a2b,1,1,1,1,0,0,1
45d048e4334b1d75cc6682932b59cc2e,1,1,0,0,0,0,0
2e655ba398289134e0da53f694839fae,0,0,1,1,0,0,1
90555babe0026541605aca444b7af1d2,1,0,0,1,0,1,1
c6b4e85d940daca73f91f5d5f0d5921b,1,0,0,1,1,1,0
1fc4f79b64122e2396311a77e25226f1,0,0,1,0,0,1,0
1275a1036a50c644547ca94083b42c76,1,0,0,1,1,1,0
ffa056754cd273a02e02385c7332859a,1,1,1,0,0,0,0
8c13272cf5b0132564c163eeb715ef26,0,0,1,0,0,1,1
0077dd4d605ac5e587cc2bc1750cd782,0,0,1,1,1,0,1
d676fbb043b74469d66af6c6af7f747e,1,0,1,0,1,0,0
116b1703affec60f68e4b9f83d391dea,0,0,0,0,0,0,1
509a9d6ff480b7e8cb8dc99dcb1853ca,1,1,0,1,1,1,1
91f69f49ae6abc875e4a19b0aa27f5c0,1,1,1,1,1,1,1
dcda46d8f53dc8566450bb010a70e33a,0,0,0,1,1,1,1
50e3a87864b17336ab099d5ad0257864,1,0,0,1,0,1,0
07b135bcf19b95695133e1196051bfea,1,0,0,0,0,1,0
eb94df2fba73f58adc0b55834e189465,0,1,1,0,1,1,0
ebec4822f25d1732804e56c613a848f4,0,0,0,1,0,0,1
410397aeae9417c59baeb181b4f7e180,0,0,1,0,0,1,1
7acefe9df80305ab0562dc44e407b451,0,1,1,1,1,1,1
04fb0fad751417ac0cc264488e6f3f67,0,0,0,0,0,1,0
f26d371640ef64ab33f5d38e71eab3d2,1,1,1,0,1,0,0
205772705577c352cd761c067dc02038,1,1,0,1,1,0,0
e2e0d81718b319c133acd3cef3c1c303,0,0,0,1,0,0,0
8017a2ba866de9a0cccad16439c34e3c,1,1,1,1,0,0,1
c18735b5ceff5bcff3aff822fb7dfb57,0,1,0,1,1,0,0
51485e04ad52be09b8b3dfb934098690,1,1,0,0,0,0,1
f3d1b113aa654d7132560d59816b5b90,0,1,0,1,0,1,1
d310ff2b4da92ac2edda32d991686d99,0,1,1,1,0,1,0
3b25f2d0ab16a9917f27d626cdacd065,0,0,0,1,1,0,0
a9e2eaee0dc59b3ef4e0fbe322dd1b12,0,1,0,0,0,1,1
61dc5a32120bdfe226bf01212c9acfdc,0,1,0,0,1,0,1
d6bf8a35667ce651425772e254a808ec,0,1,0,1,0,0,0
0591314ad2960432675b93d236ca1a3d,0,0,1,0,1,0,0
5771827397a5fd5fafa6f430cff961b7,0,0,0,1,0,1,1
2f6149c3cd8f85de453bbecc33cd1f23,1,1,0,0,1,0,1
e508dd4e8a1c4d0c1be86c6fefdb3baa,0,1,0,0,1,1,0
5d40406bdadbb276391112af209cceda,1,1,0,0,0,0,1
34eadce76acefd40362b4148277fd566,0,1,1,1,1,0,1
d0a3e06b097fe582a4b53bf53b81ef64,0,1,0,0,1,0,0
68af60f1c651b694fefa7f612277535f,1,0,1,0,0,1,1
eb01269924628b69b3dad51f16dba41b,1,0,0,1,1,0,1
8bab8b2c3d6cb31bc9e09cd0472c2288,0,0,0,0,1,0,1
dd2f9c606de5a8df19b7ad2c89ef4aa3,1,1,1,0,0,0,0
c06fb908ccd083c1daabb5fe6d8a0a22,0,0,1,0,1,1,0
2a6d92cd1ecd6428a1237235261b4dcc,1,1,1,0,0,0,1
406873e299a6a9efd77862d5176752d5,1,0,1,0,0,1,0
30a314678d3902ea392facc62e4658ad,0,0,0,0,1,1,0
736f492bd0a859107d9ac432a28a60ed,0,1,1,0,1,1,1
b25436939f614d36cefe2757155dff33,0,0,0,1,1,0,1
e01b8bf45ce8932bcf253fb3dd6d7eab,0,0,1,0,0,0,1
3d3a840965f699420f6957508eacf431,0,1,0,0,0,1,1
